timestamp,accel_x,accel_y,accel_z,simulated_ground_truth
2026-03-15 08:00:00.000,0.02484,0.33625,0.2219,NORMAL_HEALTHY
2026-03-15 08:00:00.001,0.14713,0.32633,0.22276,NORMAL_HEALTHY
2026-03-15 08:00:00.002,0.21798,0.35166,0.23816,NORMAL_HEALTHY
2026-03-15 08:00:00.003,0.2285,0.27161,0.25301,NORMAL_HEALTHY
2026-03-15 08:00:00.004,0.26775,0.17316,0.21436,NORMAL_HEALTHY
2026-03-15 08:00:00.005,0.27187,0.16732,0.28198,NORMAL_HEALTHY
2026-03-15 08:00:00.006,0.28769,0.10105,0.30997,NORMAL_HEALTHY
2026-03-15 08:00:00.007,0.34304,0.1117,0.18889,NORMAL_HEALTHY
2026-03-15 08:00:00.008,0.33651,0.06054,0.17226,NORMAL_HEALTHY
2026-03-15 08:00:00.009,0.3807,-0.02143,0.17132,NORMAL_HEALTHY
2026-03-15 08:00:00.010,0.31991,0.0341,0.14678,NORMAL_HEALTHY
2026-03-15 08:00:00.011,0.27658,-0.05402,0.06853,NORMAL_HEALTHY
2026-03-15 08:00:00.012,0.31245,-0.21132,0.02844,NORMAL_HEALTHY
2026-03-15 08:00:00.013,0.27922,-0.12991,0.04541,NORMAL_HEALTHY
2026-03-15 08:00:00.014,0.22744,-0.20145,-0.04617,NORMAL_HEALTHY
2026-03-15 08:00:00.015,0.159,-0.22994,0.01101,NORMAL_HEALTHY
2026-03-15 08:00:00.016,0.17298,-0.30182,-0.04367,NORMAL_HEALTHY
2026-03-15 08:00:00.017,0.09717,-0.26761,-0.06005,NORMAL_HEALTHY
2026-03-15 08:00:00.018,0.12885,-0.20726,-0.13485,NORMAL_HEALTHY
2026-03-15 08:00:00.019,0.02307,-0.23732,-0.09318,NORMAL_HEALTHY
2026-03-15 08:00:00.020,-0.02396,-0.26077,-0.18598,NORMAL_HEALTHY
2026-03-15 08:00:00.021,-0.09834,-0.21686,-0.118,NORMAL_HEALTHY
2026-03-15 08:00:00.022,-0.0809,-0.20419,-0.16934,NORMAL_HEALTHY
2026-03-15 08:00:00.023,-0.14868,-0.22349,-0.14288,NORMAL_HEALTHY
2026-03-15 08:00:00.024,-0.15759,-0.1604,-0.30093,NORMAL_HEALTHY
2026-03-15 08:00:00.025,-0.15389,-0.20666,-0.22948,NORMAL_HEALTHY
2026-03-15 08:00:00.026,-0.22864,-0.27313,-0.23299,NORMAL_HEALTHY
2026-03-15 08:00:00.027,-0.25152,-0.09848,-0.2454,NORMAL_HEALTHY
2026-03-15 08:00:00.028,-0.34244,-0.14936,-0.19201,NORMAL_HEALTHY
2026-03-15 08:00:00.029,-0.31303,-0.11149,-0.19693,NORMAL_HEALTHY
2026-03-15 08:00:00.030,-0.34515,-0.00346,-0.2238,NORMAL_HEALTHY
2026-03-15 08:00:00.031,-0.3783,-0.01257,-0.22797,NORMAL_HEALTHY
2026-03-15 08:00:00.032,-0.34892,0.06693,-0.14735,NORMAL_HEALTHY
2026-03-15 08:00:00.033,-0.36606,0.04868,-0.12673,NORMAL_HEALTHY
2026-03-15 08:00:00.034,-0.35022,0.12698,-0.07672,NORMAL_HEALTHY
2026-03-15 08:00:00.035,-0.27978,0.29053,-0.01988,NORMAL_HEALTHY
2026-03-15 08:00:00.036,-0.24278,0.25131,-0.04551,NORMAL_HEALTHY
2026-03-15 08:00:00.037,-0.2027,0.29386,0.15617,NORMAL_HEALTHY
2026-03-15 08:00:00.038,-0.14863,0.33186,0.11576,NORMAL_HEALTHY
2026-03-15 08:00:00.039,-0.12941,0.38485,0.18701,NORMAL_HEALTHY
2026-03-15 08:00:00.040,0.03955,0.30348,0.24833,NORMAL_HEALTHY
2026-03-15 08:00:00.041,0.00088,0.36122,0.30762,NORMAL_HEALTHY
2026-03-15 08:00:00.042,0.08949,0.29497,0.25808,NORMAL_HEALTHY
2026-03-15 08:00:00.043,0.1762,0.2254,0.27171,NORMAL_HEALTHY
2026-03-15 08:00:00.044,0.20254,0.2746,0.24255,NORMAL_HEALTHY
2026-03-15 08:00:00.045,0.37748,0.17708,0.25971,NORMAL_HEALTHY
2026-03-15 08:00:00.046,0.37376,0.10876,0.26663,NORMAL_HEALTHY
2026-03-15 08:00:00.047,0.41968,0.04051,0.24522,NORMAL_HEALTHY
2026-03-15 08:00:00.048,0.37672,0.08906,0.16925,NORMAL_HEALTHY
2026-03-15 08:00:00.049,0.29589,0.02628,0.19192,NORMAL_HEALTHY
2026-03-15 08:00:00.050,0.36252,-0.0299,0.12345,NORMAL_HEALTHY
2026-03-15 08:00:00.051,0.34108,-0.07652,0.08626,NORMAL_HEALTHY
2026-03-15 08:00:00.052,0.3953,-0.1079,0.03323,NORMAL_HEALTHY
2026-03-15 08:00:00.053,0.30221,-0.20272,0.06696,NORMAL_HEALTHY
2026-03-15 08:00:00.054,0.29116,-0.22353,0.0393,NORMAL_HEALTHY
2026-03-15 08:00:00.055,0.21563,-0.17543,0.0404,NORMAL_HEALTHY
2026-03-15 08:00:00.056,0.14352,-0.25893,-0.08614,NORMAL_HEALTHY
2026-03-15 08:00:00.057,0.07563,-0.24212,-0.06952,NORMAL_HEALTHY
2026-03-15 08:00:00.058,0.09113,-0.21168,-0.10502,NORMAL_HEALTHY
2026-03-15 08:00:00.059,0.11121,-0.26264,-0.03212,NORMAL_HEALTHY
2026-03-15 08:00:00.060,0.03128,-0.2893,-0.18474,NORMAL_HEALTHY
2026-03-15 08:00:00.061,-0.01441,-0.26089,-0.14047,NORMAL_HEALTHY
2026-03-15 08:00:00.062,-0.05364,-0.24993,-0.21164,NORMAL_HEALTHY
2026-03-15 08:00:00.063,-0.19217,-0.25782,-0.16674,NORMAL_HEALTHY
2026-03-15 08:00:00.064,-0.14509,-0.27984,-0.20318,NORMAL_HEALTHY
2026-03-15 08:00:00.065,-0.17572,-0.24793,-0.21363,NORMAL_HEALTHY
2026-03-15 08:00:00.066,-0.23032,-0.23723,-0.21278,NORMAL_HEALTHY
2026-03-15 08:00:00.067,-0.24134,-0.11526,-0.19038,NORMAL_HEALTHY
2026-03-15 08:00:00.068,-0.37089,-0.16789,-0.20602,NORMAL_HEALTHY
2026-03-15 08:00:00.069,-0.30378,-0.06709,-0.08005,NORMAL_HEALTHY
2026-03-15 08:00:00.070,-0.32146,0.00364,-0.16584,NORMAL_HEALTHY
2026-03-15 08:00:00.071,-0.32934,-0.0093,-0.15019,NORMAL_HEALTHY
2026-03-15 08:00:00.072,-0.40237,0.04577,-0.16451,NORMAL_HEALTHY
2026-03-15 08:00:00.073,-0.35023,0.20721,-0.17736,NORMAL_HEALTHY
2026-03-15 08:00:00.074,-0.29877,0.09254,-0.08759,NORMAL_HEALTHY
2026-03-15 08:00:00.075,-0.24554,0.2131,-0.06371,NORMAL_HEALTHY
2026-03-15 08:00:00.076,-0.29142,0.28336,-0.00392,NORMAL_HEALTHY
2026-03-15 08:00:00.077,-0.19055,0.29324,0.04715,NORMAL_HEALTHY
2026-03-15 08:00:00.078,-0.03182,0.34598,0.0461,NORMAL_HEALTHY
2026-03-15 08:00:00.079,-0.06165,0.30815,0.19053,NORMAL_HEALTHY
2026-03-15 08:00:00.080,-0.03963,0.33725,0.2169,NORMAL_HEALTHY
2026-03-15 08:00:00.081,0.11426,0.28527,0.21925,NORMAL_HEALTHY
2026-03-15 08:00:00.082,0.11527,0.29128,0.31639,NORMAL_HEALTHY
2026-03-15 08:00:00.083,0.22162,0.23772,0.30143,NORMAL_HEALTHY
2026-03-15 08:00:00.084,0.36176,0.29835,0.22155,NORMAL_HEALTHY
2026-03-15 08:00:00.085,0.27578,0.26421,0.24622,NORMAL_HEALTHY
2026-03-15 08:00:00.086,0.35528,0.194,0.22623,NORMAL_HEALTHY
2026-03-15 08:00:00.087,0.35135,-0.02892,0.2029,NORMAL_HEALTHY
2026-03-15 08:00:00.088,0.3511,0.0028,0.26968,NORMAL_HEALTHY
2026-03-15 08:00:00.089,0.29041,-0.0146,0.1861,NORMAL_HEALTHY
2026-03-15 08:00:00.090,0.42206,-0.10565,0.18797,NORMAL_HEALTHY
2026-03-15 08:00:00.091,0.32998,-0.13069,0.12744,NORMAL_HEALTHY
2026-03-15 08:00:00.092,0.31196,-0.15354,0.07737,NORMAL_HEALTHY
2026-03-15 08:00:00.093,0.25011,-0.15647,0.06259,NORMAL_HEALTHY
2026-03-15 08:00:00.094,0.31253,-0.24126,0.08024,NORMAL_HEALTHY
2026-03-15 08:00:00.095,0.09738,-0.21682,-0.0054,NORMAL_HEALTHY
2026-03-15 08:00:00.096,0.16984,-0.25336,-0.06229,NORMAL_HEALTHY
2026-03-15 08:00:00.097,0.09177,-0.26389,-0.05172,NORMAL_HEALTHY
2026-03-15 08:00:00.098,0.09515,-0.27629,-0.07399,NORMAL_HEALTHY
2026-03-15 08:00:00.099,0.05389,-0.21685,-0.10529,NORMAL_HEALTHY
2026-03-15 08:00:00.100,-0.04145,-0.27668,-0.1211,NORMAL_HEALTHY
2026-03-15 08:00:00.101,-0.00801,-0.25228,-0.16136,NORMAL_HEALTHY
2026-03-15 08:00:00.102,-0.01341,-0.27198,-0.16285,NORMAL_HEALTHY
2026-03-15 08:00:00.103,-0.12653,-0.2481,-0.15825,NORMAL_HEALTHY
2026-03-15 08:00:00.104,-0.11452,-0.19232,-0.16355,NORMAL_HEALTHY
2026-03-15 08:00:00.105,-0.19394,-0.18138,-0.22987,NORMAL_HEALTHY
2026-03-15 08:00:00.106,-0.21702,-0.19419,-0.2219,NORMAL_HEALTHY
2026-03-15 08:00:00.107,-0.23962,-0.19607,-0.15403,NORMAL_HEALTHY
2026-03-15 08:00:00.108,-0.35231,-0.17964,-0.18351,NORMAL_HEALTHY
2026-03-15 08:00:00.109,-0.28988,-0.06246,-0.1929,NORMAL_HEALTHY
2026-03-15 08:00:00.110,-0.35061,-0.08276,-0.19657,NORMAL_HEALTHY
2026-03-15 08:00:00.111,-0.39577,0.04554,-0.1819,NORMAL_HEALTHY
2026-03-15 08:00:00.112,-0.405,0.04217,-0.13307,NORMAL_HEALTHY
2026-03-15 08:00:00.113,-0.38251,0.07389,-0.10348,NORMAL_HEALTHY
2026-03-15 08:00:00.114,-0.32084,0.13953,-0.08756,NORMAL_HEALTHY
2026-03-15 08:00:00.115,-0.28838,0.14882,-0.07525,NORMAL_HEALTHY
2026-03-15 08:00:00.116,-0.29158,0.2454,0.03252,NORMAL_HEALTHY
2026-03-15 08:00:00.117,-0.1276,0.32775,0.06436,NORMAL_HEALTHY
2026-03-15 08:00:00.118,-0.13997,0.27643,0.11633,NORMAL_HEALTHY
2026-03-15 08:00:00.119,-0.08541,0.34999,0.13174,NORMAL_HEALTHY
2026-03-15 08:00:00.120,0.02597,0.40727,0.19542,NORMAL_HEALTHY
